filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.998344230116345,0,1,1,0,1,1,1
03002.png,0,0,0.9996916530944873,0,1,1,1,1,0,1
03003.png,0,0,0.9997283317497931,0,1,1,0,0,1,1
03004.png,0,0,0.9994284844142385,0,1,1,0,1,0,1
03005.png,0,0,0.9996670083201025,0,1,1,1,1,1,1
03006.png,0,0,0.9999244692589855,0,1,1,0,1,1,1
03007.png,0,0,0.9993532942607999,0,1,1,0,1,0,1
03008.png,0,0,0.9998143217526376,0,1,0,1,1,1,1
03009.png,0,0,0.999590997264022,0,1,0,0,1,0,1
03010.png,0,0,0.9991233051987365,0,1,0,1,0,0,1
03011.png,0,0,0.9999616017194057,0,1,1,0,1,1,1
03012.png,0,0,0.9999527904401475,0,1,1,0,1,1,1
03013.png,0,0,0.965642686933279,1,0,0,0,0,0,0
03014.png,0,0,0.999266168451868,0,1,1,1,1,1,1
03015.png,0,0,0.9983771000988781,0,1,0,0,1,0,0
03016.png,0,0,0.9999859178915358,0,1,1,1,1,1,1
03017.png,0,0,0.9999091819263413,0,1,0,0,0,1,1
03018.png,0,0,0.99994970973421,0,1,1,1,1,0,1
03019.png,0,0,0.9993837277870625,0,1,1,1,1,1,1
03020.png,0,0,0.9997247495048214,0,1,0,0,1,1,1
03021.png,0,0,0.999961697794788,0,1,1,0,1,1,1
03022.png,0,0,0.9993624840863049,0,1,1,1,1,1,1
03023.png,0,0,0.9973551880102605,0,1,1,1,1,1,0
03024.png,0,0,0.9997013060201425,0,1,0,1,0,1,0
03025.png,0,0,0.9999191557290033,0,1,0,0,1,0,1
03026.png,0,0,0.9999277918104781,0,1,1,0,1,0,1
03027.png,0,0,0.9997817662806483,0,1,0,0,0,0,0
03028.png,0,0,0.9996848844166379,0,1,1,1,1,1,1
03029.png,0,0,0.9999572018277831,0,1,0,1,1,1,1
03030.png,0,0,0.9798915442079306,0,1,0,1,1,1,1
03031.png,0,0,0.9994185518589802,0,1,1,1,1,0,1
03032.png,0,0,0.9998296698904596,0,1,1,1,1,1,0
03033.png,0,0,0.9981068210909143,1,0,0,0,0,0,0
03034.png,0,0,0.9996885829605162,0,1,1,0,1,1,1
03035.png,0,0,0.9900002181529999,1,0,0,0,0,0,0
03036.png,0,0,0.9510801397264004,1,0,0,0,0,0,0
03037.png,0,0,0.999923930321529,0,1,1,0,1,1,1
03038.png,0,0,0.999454137054272,0,1,0,1,1,1,1
03039.png,0,0,0.9996510507480707,0,1,0,1,0,1,1
03040.png,0,0,0.99989026793628,0,1,1,1,1,1,1
03041.png,0,0,0.9991814632667229,0,1,0,1,0,0,0
03042.png,0,0,0.9997025895863771,0,1,1,1,1,1,1
03043.png,0,0,0.9999877559494053,0,1,0,1,1,1,1
03044.png,0,0,0.9998925524268998,0,1,1,0,1,1,1
03045.png,0,0,0.9953991491347551,1,0,0,0,0,0,0
03046.png,0,0,0.9999865631853027,0,1,0,1,1,1,1
03047.png,0,0,0.9999911313270786,0,1,0,1,1,1,1
03048.png,0,0,0.9996792874007951,0,1,0,0,1,1,0
03049.png,0,0,0.996532965451479,0,1,0,1,1,0,1
03050.png,0,0,0.9999957405625537,0,0,0,0,0,0,0
03051.png,0,0,0.9987773364409804,0,1,0,0,0,0,0
03052.png,0,0,0.9999502614227822,0,1,1,0,1,1,1
03053.png,0,0,0.9999489205511054,0,1,0,1,1,1,1
03054.png,0,0,0.9999529281813011,0,1,1,0,1,1,1
03055.png,0,0,0.9999180974700721,0,1,1,0,1,1,1
03056.png,0,0,0.9993597166030668,0,1,0,1,1,1,1
03057.png,0,0,0.999033410102129,0,1,1,0,1,1,1
03058.png,0,0,0.9996290579147171,0,1,0,0,1,1,1
03059.png,0,0,0.9999254233625834,0,1,1,0,1,1,1
03060.png,0,0,0.9997850282525178,0,1,0,1,1,1,1
03061.png,0,0,0.9999302954092855,0,1,1,0,1,1,1
03062.png,0,0,0.9997697428043466,0,1,1,0,1,1,0
03063.png,0,0,0.9997635494655697,0,1,0,0,1,0,1
03064.png,0,0,0.9999978876694513,0,1,0,1,1,1,1
03065.png,0,0,0.9998742217721883,0,1,0,1,0,1,1
03066.png,0,0,0.9992418279289268,0,1,1,0,1,1,1
03067.png,0,0,0.999839760523173,0,1,1,1,1,1,1
03068.png,0,0,0.9999160135703278,0,1,1,0,1,1,0
03069.png,0,0,0.999294851499144,0,1,0,1,0,1,1
03070.png,0,0,0.999900861257629,0,1,1,0,1,1,1
03071.png,0,0,0.9999599385228066,0,1,0,1,1,1,1
03072.png,0,0,0.9998421825730475,0,1,0,0,1,1,1
03073.png,0,0,0.9945487091317773,0,1,1,1,1,1,1
03074.png,0,0,0.9999420721433125,0,1,0,0,0,1,1
03075.png,0,0,0.9959540963172913,0,1,1,1,1,1,1
03076.png,0,0,0.9997355991217773,0,1,1,1,1,0,1
