filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,1,0,0.9999330043792725,1,0,0,0,0,0,0
03002.png,1,0,1.0,1,0,0,0,0,0,0
03003.png,1,0,0.9999984502792358,0,1,1,0,0,1,1
03004.png,1,0,0.9999957084655762,0,1,1,1,1,1,1
03005.png,1,0,0.9999958276748657,0,1,1,1,0,1,1
03006.png,1,0,0.9999957084655762,1,0,0,0,0,0,0
03007.png,1,0,0.9999969005584717,1,0,0,0,0,0,0
03008.png,1,0,0.9999986886978149,0,1,1,1,1,1,1
03009.png,1,0,0.9999850988388062,0,1,1,1,1,1,1
03010.png,1,0,0.9999836683273315,0,1,1,0,0,0,1
