filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,1,0,0.9845214486122131,1,0,0,0,0,0,0
03002.png,1,0,0.996687114238739,1,0,0,0,0,0,0
03003.png,1,0,0.9991064667701721,0,0,0,0,0,0,0
03004.png,1,0,0.9942952990531921,0,1,1,0,0,0,1
03005.png,1,0,0.9862702488899231,0,1,1,1,1,1,1
03006.png,1,0,0.9950807094573975,0,1,1,0,1,0,1
03007.png,1,0,0.9777275323867798,1,0,0,0,0,0,0
03008.png,1,0,0.985519528388977,0,1,1,1,0,0,1
03009.png,1,0,0.9986535310745239,1,0,0,0,0,0,0
03010.png,1,0,0.9860484600067139,1,0,0,0,0,0,0
03011.png,1,0,0.9951595664024353,1,0,0,0,0,0,0
03012.png,1,0,0.9928146600723267,0,0,0,0,0,0,0
03013.png,1,0,0.9904392957687378,1,0,0,0,0,0,0
03014.png,1,0,0.969196081161499,0,0,0,0,0,0,0
03015.png,1,0,0.9933561086654663,1,0,0,0,0,0,0
03016.png,1,0,0.9958258867263794,1,0,0,0,0,0,0
03017.png,1,0,0.9855823516845703,1,0,0,0,0,0,0
03018.png,1,0,0.9872960448265076,0,1,0,0,0,0,0
03019.png,1,0,0.9960850477218628,1,0,0,0,0,0,0
03020.png,1,0,0.9992889165878296,1,0,0,0,0,0,0
03021.png,1,0,0.9955647587776184,1,0,0,0,0,0,0
03022.png,1,0,0.9777275323867798,1,0,0,0,0,0,0
03023.png,1,0,0.9963220357894897,0,1,0,0,0,0,0
03024.png,1,0,0.9925652742385864,1,0,0,0,0,0,0
03025.png,1,0,0.9895569682121277,0,1,1,1,1,1,1
03026.png,1,0,0.9998267292976379,1,0,0,0,0,0,0
03027.png,1,0,0.9831656217575073,1,0,0,0,0,0,0
03028.png,1,0,0.9931215643882751,1,0,0,0,0,0,0
03029.png,1,0,0.9996423721313477,1,0,0,0,0,0,0
03030.png,1,0,0.9929407835006714,1,0,0,0,0,0,0
03031.png,1,0,0.9717063903808594,0,0,0,0,0,0,0
03032.png,1,0,0.9997759461402893,1,0,0,0,0,0,0
03033.png,1,0,0.9864132404327393,0,1,0,0,0,0,0
03034.png,1,0,0.9756752252578735,0,1,0,0,1,1,1
03035.png,1,0,0.9906499981880188,0,0,0,0,0,0,0
03036.png,1,0,0.9862702488899231,0,1,1,1,1,1,1
03037.png,1,0,0.9912261366844177,1,0,0,0,0,0,0
03038.png,1,0,0.9948596954345703,1,0,0,0,0,0,0
03039.png,1,0,0.9835423231124878,0,1,1,1,1,1,1
03040.png,1,0,0.9917322397232056,0,1,0,1,0,0,0
03041.png,1,0,0.9786133170127869,1,0,0,0,0,0,0
03042.png,1,0,0.9937724471092224,1,0,0,0,0,0,0
03043.png,1,0,0.9831656217575073,1,0,0,0,0,0,0
03044.png,1,0,0.9989305138587952,1,0,0,0,0,0,0
03045.png,1,0,0.9897938966751099,1,0,0,0,0,0,0
03046.png,1,0,0.9754771590232849,0,1,1,0,1,0,0
03047.png,1,0,0.9986988306045532,1,0,0,0,0,0,0
03048.png,1,0,0.9850761294364929,0,1,1,0,1,0,1
03049.png,1,0,0.9989055395126343,0,0,1,0,0,0,0
03050.png,1,0,0.9844508171081543,1,0,0,0,0,0,0
03051.png,1,0,0.9944530129432678,0,1,1,0,0,0,1
03052.png,1,0,0.9974919557571411,1,0,0,0,0,0,0
03053.png,1,0,0.9872614145278931,1,0,0,0,0,0,0
03054.png,1,0,0.9860484600067139,1,0,0,0,0,0,0
03055.png,1,0,0.9992889165878296,1,0,0,0,0,0,0
03056.png,1,0,0.9828534722328186,1,0,0,0,0,0,0
03057.png,1,0,0.9917224049568176,0,1,1,1,1,0,1
03058.png,1,0,0.9974992871284485,1,0,0,0,0,0,0
03059.png,1,0,0.9851709008216858,0,0,0,0,0,0,1
03060.png,1,0,0.9887737035751343,1,0,0,0,0,0,0
03061.png,1,0,0.9973083734512329,1,0,0,0,0,0,0
03062.png,1,0,0.9794197678565979,1,0,0,0,0,0,0
03063.png,1,0,0.9945226907730103,0,0,0,0,0,0,0
03064.png,1,0,0.996687114238739,1,0,0,0,0,0,0
03065.png,1,0,0.9954655766487122,1,0,0,0,0,0,0
03066.png,1,0,0.9844508171081543,1,0,0,0,0,0,0
03067.png,1,0,0.9828534722328186,1,0,0,0,0,0,0
03068.png,1,0,0.9917478561401367,0,1,0,1,1,1,0
03069.png,1,0,0.9974182844161987,0,0,0,0,0,0,0
03070.png,1,0,0.995267391204834,1,0,0,0,0,0,0
03071.png,1,0,0.9983338713645935,0,1,0,0,1,0,1
03072.png,1,0,0.9555534720420837,0,1,1,1,1,0,1
03073.png,1,0,0.9980652928352356,0,1,1,1,0,0,1
03074.png,1,0,0.9971963167190552,1,0,0,0,0,0,0
03075.png,1,0,0.9688137769699097,0,1,0,0,1,0,0
03076.png,1,0,0.9907468557357788,1,0,0,0,0,0,0
03077.png,1,0,0.9982391595840454,1,0,0,0,0,0,0
03078.png,1,0,0.993103563785553,0,1,0,0,0,0,0
03079.png,1,0,0.9898537993431091,1,0,0,0,0,0,0
03080.png,1,0,0.9832478761672974,0,1,1,0,0,0,0
03081.png,1,0,0.9959676265716553,0,0,0,0,0,0,0
03082.png,1,0,0.9950807094573975,0,1,1,0,1,0,1
03083.png,1,0,0.9917224049568176,0,1,1,1,1,0,1
03084.png,1,0,0.9934450387954712,0,1,0,0,0,0,0
03085.png,1,0,0.9981116056442261,1,0,0,0,0,0,0
03086.png,1,0,0.9983338713645935,0,1,0,0,1,0,1
03087.png,1,0,0.969196081161499,0,0,0,0,0,0,0
03088.png,1,0,0.9987975358963013,1,0,0,0,0,0,0
03089.png,1,0,0.9986535310745239,1,0,0,0,0,0,0
03090.png,1,0,0.9838889837265015,1,0,0,0,0,0,0
03091.png,1,0,0.9646610021591187,0,1,1,1,1,0,1
03092.png,1,0,0.9996318817138672,1,0,0,0,0,0,0
03093.png,1,0,0.9989305138587952,1,0,0,0,0,0,0
03094.png,1,0,0.9897938966751099,1,0,0,0,0,0,0
03095.png,1,0,0.9948583841323853,1,0,0,0,0,0,0
03096.png,1,0,0.9842162728309631,1,0,0,0,0,0,0
03097.png,1,0,0.9958258867263794,1,0,0,0,0,0,0
03098.png,1,0,0.9837453365325928,1,0,0,0,0,0,0
03099.png,1,0,0.9929407835006714,1,0,0,0,0,0,0
03100.png,1,0,0.9860880970954895,0,1,1,1,1,1,1
