filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,1,0,0.9999951124191284,0,1,1,1,1,0,1
03002.png,1,0,0.9998080134391785,0,1,1,1,1,0,1
03003.png,1,0,0.9999958276748657,0,1,0,1,1,1,0
03004.png,1,0,0.999988317489624,0,1,1,1,1,1,1
03005.png,1,0,0.9638895988464355,0,1,0,0,1,0,1
03006.png,1,0,0.9994767308235168,0,1,1,0,1,0,1
03007.png,1,0,0.9990940093994141,0,1,1,1,1,0,1
03008.png,1,0,0.9995253086090088,0,1,1,0,1,0,1
03009.png,1,0,0.9999920129776001,0,1,1,1,1,0,1
03010.png,1,0,0.999991774559021,0,1,0,0,1,1,0
03011.png,1,0,0.9976453185081482,0,1,1,1,1,1,1
03012.png,1,0,0.9999969005584717,0,1,0,0,1,1,0
03013.png,1,0,0.999995231628418,0,1,1,1,1,1,1
03014.png,1,0,0.999984860420227,0,1,1,0,1,1,1
03015.png,1,0,0.9999996423721313,0,1,1,1,1,1,1
03016.png,1,0,0.999937891960144,0,1,1,1,1,1,0
03017.png,1,0,0.9999382495880127,0,1,1,1,1,0,0
03018.png,1,0,0.9999774694442749,0,1,0,0,1,1,1
03019.png,1,0,0.9996650218963623,0,1,1,1,1,1,1
03020.png,1,0,0.9995998740196228,0,1,0,1,1,0,1
03021.png,1,0,0.9980257749557495,0,1,1,1,1,0,1
03022.png,1,0,0.9999642372131348,0,1,1,1,1,0,1
03023.png,1,0,0.9964359998703003,0,1,0,0,1,0,1
03024.png,1,0,0.9999903440475464,0,1,1,0,1,1,1
03025.png,1,0,0.9999996423721313,0,0,1,0,1,0,1
03026.png,1,0,0.9999691247940063,0,1,1,0,1,1,1
03027.png,1,0,0.9988836646080017,1,0,0,0,0,0,0
03028.png,1,0,0.9964402318000793,0,1,1,1,1,0,1
03029.png,1,0,0.9986226558685303,0,1,1,1,1,0,1
03030.png,1,0,0.9998810291290283,0,1,0,0,1,0,1
03031.png,1,0,0.9999606609344482,0,1,0,1,1,1,1
03032.png,1,0,0.9995496869087219,0,1,1,0,1,0,1
03033.png,1,0,0.9999643564224243,0,1,1,0,1,1,1
03034.png,1,0,0.9999942779541016,0,1,1,0,1,1,1
03035.png,1,0,0.9999701976776123,0,1,1,1,1,1,1
