filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,1,0,0.5202592611312866,0,1,1,0,1,0,1
03002.png,1,0,0.8889758586883545,0,1,1,1,1,0,1
03003.png,0,0,0.5591643750667572,0,1,1,1,1,0,1
03004.png,1,0,0.5891236662864685,0,1,1,0,1,0,1
03005.png,1,0,0.9509404301643372,0,1,1,1,1,0,1
03006.png,0,0,0.5213989019393921,0,1,1,1,1,1,1
03007.png,0,0,0.6112388074398041,0,1,0,1,0,1,0
03008.png,0,0,0.5272518396377563,0,1,1,1,1,1,1
03009.png,1,0,0.9509404301643372,0,1,1,1,1,0,1
03010.png,0,0,0.5015026330947876,0,1,1,1,1,1,1
