filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.jpg,1,0,0.9986006617546082,0,1,0,1,0,1,0
03002.jpg,1,0,0.9993797540664673,0,1,0,1,1,1,1
03003.jpg,1,0,0.9985571503639221,0,1,0,1,1,0,1
03004.jpg,1,0,0.9997093081474304,0,1,1,1,1,1,0
03005.jpg,1,0,0.9998453855514526,0,1,1,1,1,1,1
03006.jpg,1,0,0.9999411106109619,0,1,1,1,1,1,1
03007.jpg,1,0,0.9998083710670471,0,1,1,1,1,1,1
03008.jpg,1,0,0.9999614953994751,1,0,0,0,0,0,0
03009.jpg,1,0,0.9995885491371155,0,1,1,1,1,1,1
03010.jpg,0,0,0.9679030552506447,1,0,0,0,0,0,0
