filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.99997497,0,0,0,0,0,0,1
03002.png,0,0,0.9999739,0,1,1,1,1,1,1
03003.png,0,0,0.9999802,0,0,0,0,0,0,0
03004.png,0,0,0.9999819,0,1,0,0,0,0,0
03005.png,0,0,0.99997425,0,0,0,0,0,0,0
03006.png,0,0,0.9999852,0,0,0,0,0,0,0
03007.png,0,0,0.9999877,0,0,0,0,0,0,0
03008.png,0,0,0.9999863,0,0,0,0,0,0,0
03009.png,0,0,0.99998116,0,0,0,0,0,0,0
03010.png,0,0,0.9999751,0,1,1,0,0,0,1
03011.png,0,0,0.99998844,0,0,0,0,0,0,0
03012.png,0,0,0.9999801,0,0,1,0,0,0,1
03013.png,0,0,0.99994934,1,0,0,0,0,0,0
03014.png,0,0,0.9997998,0,1,0,0,1,0,0
03015.png,0,0,0.9999813,0,0,0,0,0,0,1
03016.png,0,0,0.99995685,0,0,0,0,0,0,0
03017.png,0,0,0.99997485,0,0,0,0,1,0,1
03018.png,0,0,0.99998355,0,0,0,0,0,0,0
03019.png,0,0,0.99995255,0,1,1,0,0,0,1
03020.png,0,0,0.9999765,0,0,1,0,0,0,1
03021.png,0,0,0.9999813,0,0,0,0,0,0,0
03022.png,0,0,0.99998534,0,0,0,0,0,0,0
03023.png,0,0,0.9999825,0,0,1,0,0,0,1
03024.png,0,0,0.99998116,0,0,0,0,0,0,1
03025.png,0,0,0.9999888,0,0,0,0,0,0,0
03026.png,0,0,0.9999825,0,0,0,0,0,0,0
03027.png,0,0,0.9999651,0,0,0,0,0,0,0
03028.png,0,0,0.9999511,0,0,1,0,0,0,1
03029.png,0,0,0.99998903,0,0,1,0,0,0,1
03030.png,0,0,0.9999465,0,1,0,0,0,0,0
03031.png,0,0,0.9999813,0,0,0,0,0,0,0
03032.png,0,0,0.9999769,0,1,1,1,1,0,1
03033.png,0,0,0.963482,1,0,0,0,0,0,0
03034.png,0,0,0.9999814,0,0,0,0,0,0,0
03035.png,0,0,0.99992454,1,0,0,0,0,0,0
03036.png,0,0,0.9998273,1,0,0,0,0,0,0
03037.png,0,0,0.99998236,0,0,0,0,0,0,0
03038.png,0,0,0.99993706,0,1,1,0,0,0,1
03039.png,0,0,0.99968314,0,1,1,1,1,0,1
03040.png,0,0,0.9999689,0,0,0,0,0,0,0
03041.png,0,0,0.99996316,0,0,0,0,0,0,0
03042.png,0,0,0.9999883,0,0,0,0,0,0,0
03043.png,0,0,0.99998534,0,0,1,0,0,0,1
03044.png,0,0,0.9999707,0,1,1,0,0,1,1
03045.png,0,0,0.99996924,1,0,0,0,0,0,0
03046.png,0,0,0.9999856,0,0,0,0,0,0,0
03047.png,0,0,0.99997187,0,0,0,0,0,0,1
03048.png,0,0,0.9999809,0,0,0,0,0,0,1
03049.png,0,0,0.9999846,0,0,0,0,0,0,0
03050.png,0,0,0.99998796,0,0,0,0,0,0,1
03051.png,0,0,0.9999629,0,0,0,0,0,0,1
03052.png,0,0,0.99998677,0,0,1,0,0,0,1
03053.png,0,0,0.9999547,0,1,0,0,0,0,1
03054.png,0,0,0.9999863,0,1,0,0,0,0,1
03055.png,0,0,0.999985,0,0,0,0,0,0,0
03056.png,0,0,0.9999808,0,0,0,0,0,0,0
03057.png,0,0,0.9999782,0,0,0,0,0,0,0
03058.png,0,0,0.9999851,0,0,0,0,0,0,1
03059.png,0,0,0.9999502,0,1,0,0,0,0,1
03060.png,0,0,0.9999888,0,1,0,0,0,0,1
03061.png,0,0,0.99998534,0,1,0,0,0,0,0
03062.png,0,0,0.99996686,0,0,0,0,0,0,0
03063.png,0,0,0.999985,0,0,0,0,0,0,0
03064.png,0,0,0.99998844,0,0,0,0,0,0,0
03065.png,0,0,0.9999224,0,0,1,0,0,0,1
03066.png,0,0,0.99997914,0,0,0,0,0,0,0
03067.png,0,0,0.9999894,0,0,1,0,0,0,1
03068.png,0,0,0.99997914,0,1,1,1,1,0,1
03069.png,0,0,0.9999304,0,0,0,0,0,0,0
03070.png,0,0,0.9999856,0,1,0,0,0,0,0
03071.png,0,0,0.9999752,0,0,0,0,0,0,0
03072.png,0,0,0.9999809,0,0,0,0,0,0,0
03073.png,0,0,0.9999459,0,1,1,0,1,0,1
03074.png,0,0,0.99998057,0,0,0,0,0,0,0
03075.png,0,0,0.9999788,1,0,0,0,0,0,0
03076.png,0,0,0.99996746,0,0,1,0,0,0,1
03077.png,0,0,0.9999827,0,1,0,0,0,0,0
03078.png,0,0,0.9999881,0,0,1,0,0,0,1
03079.png,0,0,0.99998796,0,0,0,0,0,0,0
03080.png,0,0,0.9999887,0,0,1,0,0,0,1
03081.png,0,0,0.9999782,0,0,1,0,0,0,1
03082.png,0,0,0.99976355,0,1,1,0,0,0,1
03083.png,0,0,0.99998486,0,0,0,0,0,0,0
03084.png,0,0,0.9999864,0,0,1,0,0,0,1
03085.png,0,0,0.9999788,0,0,0,0,0,0,0
03086.png,0,0,0.99947876,0,1,1,0,1,0,1
03087.png,0,0,0.99998415,0,0,0,0,0,0,0
03088.png,0,0,0.99998343,0,0,0,0,0,0,0
03089.png,0,0,0.9999794,0,0,1,0,0,0,1
03090.png,0,0,0.99998224,0,0,0,0,0,0,0
03091.png,0,0,0.99998903,0,0,0,0,0,0,1
03092.png,0,0,0.99995744,0,1,0,0,0,0,1
03093.png,0,0,0.9999436,0,0,0,0,0,0,0
03094.png,0,0,0.99998546,0,0,0,0,0,0,0
03095.png,0,0,0.99970514,0,1,1,1,1,0,1
03096.png,0,0,0.9999852,0,0,0,0,0,0,0
03097.png,0,0,0.9999864,0,0,0,0,0,0,1
03098.png,0,0,0.99998856,0,0,0,0,0,0,0
03099.png,0,0,0.999985,0,0,0,0,0,0,0
03100.png,0,0,0.99998724,0,0,0,0,0,0,0
03101.png,0,0,0.9999864,0,0,0,0,0,0,0
03102.png,0,0,0.9999825,0,0,0,0,0,0,0
03103.png,0,0,0.99998415,0,0,1,0,0,0,1
03104.png,0,0,0.9999815,0,0,0,0,0,0,1
03105.png,0,0,0.9999876,0,0,0,0,0,0,0
03106.png,0,0,0.99997854,0,1,1,0,0,1,1
03107.png,0,0,0.99997807,0,1,0,0,0,0,0
03108.png,0,0,0.9999697,0,0,0,0,0,0,1
03109.png,0,0,0.9999802,0,0,0,0,0,0,0
03110.png,0,0,0.9999875,0,0,0,0,0,0,0
03111.png,0,0,0.99997795,0,0,0,0,0,0,0
03112.png,0,0,0.9999666,0,0,0,0,0,0,0
03113.png,0,0,0.99997056,0,0,0,0,0,0,0
03114.png,0,0,0.99959475,1,0,0,0,0,0,0
03115.png,0,0,0.9999529,0,1,0,0,0,0,0
03116.png,0,0,0.9999893,0,0,1,0,0,0,1
03117.png,0,0,0.9999881,0,0,1,0,0,0,1
03118.png,0,0,0.9999838,0,0,0,0,0,0,0
03119.png,0,0,0.9999869,0,0,0,0,0,0,0
03120.png,0,0,0.99994326,0,0,1,0,0,0,1
03121.png,0,0,0.99994266,0,1,1,0,1,0,1
03122.png,0,0,0.9999629,0,0,0,0,0,0,0
03123.png,0,0,0.9996687,0,1,0,0,0,0,1
03124.png,0,0,0.99996686,0,0,0,0,0,0,1
03125.png,0,0,0.9999707,0,1,1,0,0,0,1
03126.png,0,0,0.99998283,0,0,0,0,0,0,0
03127.png,0,0,0.9999865,0,0,0,0,0,0,0
03128.png,0,0,0.9999701,0,1,1,1,1,1,1
03129.png,0,0,0.99997795,0,1,1,1,1,1,1
03130.png,0,0,0.99995637,0,1,1,0,1,0,1
03131.png,0,0,0.99997854,0,1,1,0,0,0,1
