filename,prediction,true_label,confidence,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.99985087,0,0,0,0,0,0
03002.png,0,0,0.99998116,0,0,0,0,0,0
03003.png,0,0,0.99995995,1,0,0,0,0,0
03004.png,0,0,0.9996105,0,0,0,0,0,1
03005.png,0,0,0.9997906,1,0,0,0,0,0
03006.png,0,0,0.99990904,0,0,0,0,0,0
03007.png,0,0,0.9999788,0,0,0,0,0,0
03008.png,0,0,0.9999875,1,1,0,1,0,1
03009.png,0,0,0.99934226,0,0,0,0,0,1
03010.png,0,0,0.9999639,1,0,0,0,0,0
03011.png,0,0,0.99998415,0,0,0,0,0,0
03012.png,0,0,0.99983394,0,0,0,0,0,0
03013.png,0,0,0.9999819,1,1,0,0,0,1
03014.png,0,0,0.999987,0,0,0,0,0,0
03015.png,0,0,0.9992194,0,0,0,0,0,0
03016.png,0,0,0.9999889,0,0,0,0,0,0
03017.png,0,0,0.99986196,1,1,0,1,0,1
03018.png,0,0,0.9999856,0,0,0,0,0,0
03019.png,0,0,0.9999727,0,0,0,0,0,0
03020.png,0,0,0.99997973,0,1,0,0,0,1
03021.png,0,0,0.99997544,1,1,1,1,0,1
03022.png,0,0,0.9999809,1,0,0,0,0,0
03023.png,0,0,0.9999714,0,0,0,0,0,0
03024.png,0,0,0.9999751,0,0,0,0,0,0
03025.png,0,0,0.9999908,0,0,0,0,0,0
03026.png,0,0,0.99994195,0,0,0,0,0,0
03027.png,0,0,0.9999893,0,0,0,0,0,0
03028.png,0,0,0.99998367,0,0,0,0,0,0
03029.png,0,0,0.9999902,1,1,0,1,0,1
03030.png,0,0,0.9999815,0,0,0,0,0,0
03031.png,0,0,0.9999696,0,0,0,0,0,0
03032.png,0,0,0.9999864,0,0,0,0,0,0
03033.png,0,0,0.9999825,0,0,0,0,0,0
03034.png,0,0,0.9999846,0,0,0,0,0,0
03035.png,0,0,0.9993156,1,1,0,0,0,1
03036.png,0,0,0.99993694,1,0,0,0,0,0
03037.png,0,0,0.99998176,0,0,0,0,0,0
03038.png,0,0,0.99998593,1,1,0,0,0,1
03039.png,0,0,0.9999844,1,1,0,0,0,1
03040.png,0,0,0.9999198,1,0,0,0,0,0
03041.png,0,0,0.99998903,0,0,0,0,0,0
03042.png,0,0,0.9999869,0,0,0,0,0,0
03043.png,0,0,0.9997621,0,0,0,0,0,0
03044.png,0,0,0.99998426,1,1,0,1,0,1
03045.png,0,0,0.99998856,1,0,0,0,0,0
03046.png,0,0,0.9999889,0,0,0,0,0,0
03047.png,0,0,0.9999441,1,1,0,1,0,0
03048.png,0,0,0.99998474,0,0,0,0,0,0
03049.png,0,0,0.9999913,0,0,0,0,0,0
03050.png,0,0,0.9998989,1,1,0,1,0,1
03051.png,0,0,0.9999523,0,1,0,1,1,1
03052.png,0,0,0.9999883,0,0,0,0,0,0
03053.png,0,0,0.99997425,0,0,0,0,1,0
03054.png,0,0,0.9999275,1,0,0,0,0,0
03055.png,0,0,0.99992657,0,0,0,0,0,0
03056.png,0,0,0.99996626,0,0,0,0,0,0
03057.png,0,0,0.9999875,0,0,0,0,0,0
03058.png,0,0,0.9999794,0,0,0,0,0,0
03059.png,0,0,0.9999895,0,0,0,0,0,0
03060.png,0,0,0.99999094,1,0,1,0,0,0
03061.png,0,0,0.99997973,0,0,0,0,0,0
03062.png,0,0,0.9999831,0,0,0,0,0,0
03063.png,0,0,0.99998033,0,0,0,0,0,0
03064.png,0,0,0.9999881,0,0,0,0,0,0
03065.png,0,0,0.99995804,0,0,0,0,0,0
03066.png,0,0,0.9999865,0,0,0,0,0,0
03067.png,0,0,0.99992085,0,0,0,0,0,0
