filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.9999964,1,0,0,0,0,0,0
03002.png,0,0,0.99999785,1,0,0,0,0,0,0
03003.png,0,0,0.9999958,0,1,1,0,0,1,1
03004.png,0,0,0.9999943,0,1,1,0,0,0,1
03005.png,0,0,0.99999726,0,1,1,0,0,0,1
03006.png,0,0,0.9999963,0,1,0,0,0,0,0
03007.png,0,0,0.9999906,1,0,0,0,0,0,0
03008.png,0,0,0.99999535,0,1,0,0,0,1,1
03009.png,0,0,0.9999919,1,0,0,0,0,0,0
03010.png,0,0,0.99999726,1,0,0,0,0,0,0
03011.png,0,0,0.9999951,1,0,0,0,0,0,0
03012.png,0,0,0.99999774,0,1,1,0,0,0,1
03013.png,0,0,0.99997175,1,0,0,0,0,0,0
03014.png,0,0,0.9999969,0,1,0,1,0,0,1
03015.png,0,0,0.99999774,1,0,0,0,0,0,0
03016.png,0,0,0.99999595,0,1,1,1,1,0,1
03017.png,0,0,0.99999607,1,0,0,0,0,0,0
03018.png,0,0,0.9999902,0,1,0,1,1,0,1
03019.png,0,0,0.9999974,1,0,0,0,0,0,0
03020.png,0,0,0.99999666,1,0,0,0,0,0,0
03021.png,0,0,0.999997,1,0,0,0,0,0,0
03022.png,0,0,0.9999906,1,0,0,0,0,0,0
03023.png,0,0,0.99999523,0,1,0,0,0,0,1
03024.png,0,0,0.9999976,1,0,0,0,0,0,0
03025.png,0,0,0.9999968,0,1,0,0,0,0,1
03026.png,0,0,0.9999738,1,0,0,0,0,0,0
03027.png,0,0,0.9999969,1,0,0,0,0,0,0
03028.png,0,0,0.99999785,1,0,0,0,0,0,0
03029.png,0,0,0.9999949,1,0,0,0,0,0,0
03030.png,0,0,0.9999949,1,0,0,0,0,0,0
03031.png,0,0,0.999997,0,1,1,1,0,0,1
03032.png,0,0,0.999997,1,0,0,0,0,0,0
03033.png,0,0,0.9999969,0,1,1,0,1,0,1
03034.png,0,0,0.9999877,0,1,0,1,1,1,1
03035.png,0,0,0.9999838,0,1,0,1,1,0,1
03036.png,0,0,0.99999726,0,1,1,0,0,0,1
03037.png,0,0,0.99999666,1,0,0,0,0,0,0
03038.png,0,0,0.99999523,1,0,0,0,0,0,0
03039.png,0,0,0.9999883,1,0,0,0,0,0,0
03040.png,0,0,0.9999776,0,1,0,0,0,1,0
03041.png,0,0,0.9999943,1,0,0,0,0,0,0
03042.png,0,0,0.9999974,1,0,0,0,0,0,0
03043.png,0,0,0.9999969,1,0,0,0,0,0,0
03044.png,0,0,0.999997,1,0,0,0,0,0,0
03045.png,0,0,0.9999908,1,0,0,0,0,0,0
03046.png,0,0,0.9999924,0,1,1,1,0,1,1
03047.png,0,0,0.9999968,1,0,0,0,0,0,0
03048.png,0,0,0.9999924,1,0,0,0,0,0,0
03049.png,0,0,0.99999297,1,0,0,0,0,0,0
03050.png,0,0,0.99999714,0,1,1,1,0,0,1
03051.png,0,0,0.99999154,0,1,0,0,0,0,1
03052.png,0,0,0.9999958,1,0,0,0,0,0,0
03053.png,0,0,0.99999666,1,0,0,0,0,0,0
03054.png,0,0,0.99999726,1,0,0,0,0,0,0
03055.png,0,0,0.99999666,1,0,0,0,0,0,0
03056.png,0,0,0.9999976,1,0,0,0,0,0,0
03057.png,0,0,0.9999968,0,1,0,0,0,0,1
03058.png,0,0,0.9999969,1,0,0,0,0,0,0
03059.png,0,0,0.99999607,0,1,1,1,1,0,1
03060.png,0,0,0.99999666,1,0,0,0,0,0,0
03061.png,0,0,0.9999893,1,0,0,0,0,0,0
03062.png,0,0,0.99999595,1,0,0,0,0,0,0
03063.png,0,0,0.99998784,0,1,1,0,0,0,1
03064.png,0,0,0.99999785,1,0,0,0,0,0,0
03065.png,0,0,0.99999595,1,0,0,0,0,0,0
03066.png,0,0,0.99999714,0,1,1,1,0,0,1
03067.png,0,0,0.9999976,1,0,0,0,0,0,0
03068.png,0,0,0.999987,0,1,1,1,1,1,1
03069.png,0,0,0.99999523,0,0,0,0,0,0,1
03070.png,0,0,0.9999975,1,0,0,0,0,0,0
