filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.99999774,0,1,0,0,1,0,0
03002.png,0,0,0.99999595,0,0,0,0,0,0,1
03003.png,0,0,0.99999547,0,0,0,0,0,0,0
03004.png,0,0,0.99999595,0,1,0,0,0,0,0
03005.png,0,0,0.9999963,0,1,1,0,0,0,1
03006.png,0,0,0.99999726,0,1,1,0,0,1,1
03007.png,0,0,0.99999714,0,1,0,0,0,0,1
03008.png,0,0,0.9999956,0,1,0,0,0,1,1
03009.png,0,0,0.9999956,0,1,1,0,1,0,1
03010.png,0,0,0.99999607,0,1,0,0,0,0,0
03011.png,0,0,0.9999875,0,1,0,0,0,0,1
03012.png,0,0,0.9999975,0,1,1,0,0,1,1
03013.png,0,0,0.99999654,0,0,0,0,0,0,1
03014.png,0,0,0.9999969,0,0,0,0,0,0,0
03015.png,0,0,0.99999726,0,1,0,0,1,0,1
03016.png,0,0,0.9999944,0,1,1,0,0,0,1
03017.png,0,0,0.9999956,0,1,1,0,1,1,1
03018.png,0,0,0.999997,0,0,0,0,0,0,0
03019.png,0,0,0.9999975,0,0,0,0,0,0,0
03020.png,0,0,0.99999595,0,1,0,0,0,0,0
03021.png,0,0,0.99999464,0,1,0,0,0,0,1
03022.png,0,0,0.9999951,0,0,0,0,0,0,0
03023.png,0,0,0.99998975,0,1,1,0,0,0,1
03024.png,0,0,0.9999963,0,0,1,0,1,0,1
03025.png,0,0,0.9999945,0,0,0,0,0,0,1
03026.png,0,0,0.99999726,0,1,1,0,1,0,1
03027.png,0,0,0.9998685,0,1,1,0,0,0,1
03028.png,0,0,0.99999523,0,0,0,0,0,0,1
03029.png,0,0,0.99999785,0,0,0,0,0,0,1
03030.png,0,0,0.9999963,0,0,1,0,0,0,1
03031.png,0,0,0.99999595,0,0,0,0,0,0,0
03032.png,0,0,0.9999958,0,0,1,0,0,0,1
03033.png,0,0,0.9999968,0,0,0,0,0,0,1
03034.png,0,0,0.99999726,0,1,1,0,1,0,1
03035.png,0,0,0.99999607,0,1,0,0,0,0,1
03036.png,0,0,0.99996173,0,1,1,0,0,0,1
03037.png,0,0,0.99998784,0,0,0,0,0,0,1
03038.png,0,0,0.99999714,0,0,0,0,0,0,0
03039.png,0,0,0.99999547,0,1,1,0,1,0,0
