filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.9999969,0,1,0,1,0,1,0
03002.png,0,0,0.999997,0,1,0,1,0,1,1
03003.png,0,0,0.99999607,0,1,1,1,0,1,1
03004.png,0,0,0.9999976,0,1,0,1,0,1,1
03005.png,0,0,0.99999654,0,1,0,0,1,0,1
03006.png,0,0,0.9999975,0,1,0,1,0,1,1
03007.png,0,0,0.99999404,0,1,0,1,0,1,1
03008.png,0,0,0.99999523,0,1,0,0,0,1,1
03009.png,0,0,0.99999654,0,1,0,0,1,0,1
03010.png,0,0,0.99999714,0,1,1,1,1,1,1
03011.png,0,0,0.9999976,0,1,0,0,0,1,1
03012.png,0,0,0.9999974,0,1,0,1,0,1,0
03013.png,0,0,0.99999714,0,1,0,1,0,1,1
03014.png,0,0,0.99999607,0,1,0,0,0,1,1
03015.png,0,0,0.9999962,0,1,0,1,0,1,1
03016.png,0,0,0.99999726,0,1,0,1,1,1,1
03017.png,0,0,0.99999714,0,1,0,1,0,1,1
03018.png,0,0,0.9999958,0,1,0,1,0,1,1
03019.png,0,0,0.99999666,0,1,0,1,0,1,1
03020.png,0,0,0.99999714,0,1,0,1,0,1,1
03021.png,0,0,0.9999976,0,1,0,0,0,1,1
03022.png,0,0,0.9999974,0,1,1,1,1,1,1
03023.png,0,0,0.9999976,0,1,1,1,0,1,1
03024.png,0,0,0.9999974,0,1,0,0,0,1,1
03025.png,0,0,0.99999726,0,1,0,1,0,1,1
03026.png,0,0,0.99999726,0,1,1,1,1,1,1
03027.png,0,0,0.9999962,0,1,0,1,0,1,1
03028.png,0,0,0.9999974,0,1,0,1,0,1,1
03029.png,0,0,0.9999976,0,1,1,1,1,1,1
03030.png,0,0,0.99999714,0,1,0,1,0,1,1
03031.png,0,0,0.9999975,0,1,0,1,0,1,1
03032.png,0,0,0.999997,0,1,0,1,0,1,1
03033.png,0,0,0.9999974,0,1,0,0,0,1,1
03034.png,0,0,0.9999976,0,1,1,1,1,1,1
03035.png,0,0,0.99999714,0,1,0,1,0,1,1
03036.png,0,0,0.9999976,0,1,1,1,1,1,1
03037.png,0,0,0.9999974,0,1,0,1,0,1,1
03038.png,0,0,0.99999666,0,1,0,1,0,1,1
03039.png,0,0,0.99999523,0,1,0,0,0,1,1
03040.png,0,0,0.9999969,0,1,0,1,0,1,1
03041.png,0,0,0.99999714,0,1,0,1,0,1,1
03042.png,0,0,0.99999523,0,1,0,0,0,1,1
03043.png,0,0,0.9999968,0,1,1,1,1,1,1
03044.png,0,0,0.9999962,0,1,1,1,0,1,1
03045.png,0,0,0.9999968,0,1,1,1,1,1,1
03046.png,0,0,0.999997,0,1,0,1,0,1,1
03047.png,0,0,0.9999974,0,1,0,0,0,1,1
03048.png,0,0,0.99999714,0,1,0,1,0,1,1
03049.png,0,0,0.99999404,0,1,0,1,0,1,1
03050.png,0,0,0.9999974,0,1,0,1,0,1,1
03051.png,0,0,0.99999213,0,1,0,0,1,1,1
03052.png,0,0,0.9999974,0,1,0,1,0,1,1
03053.png,0,0,0.9999969,0,1,0,1,1,1,1
03054.png,0,0,0.99999607,0,1,0,0,0,1,1
03055.png,0,0,0.99999714,0,1,0,1,1,1,0
03056.png,0,0,0.9999969,0,1,0,1,0,1,1
03057.png,0,0,0.9999958,0,1,1,1,0,1,1
03058.png,0,0,0.99999714,0,1,0,1,0,1,1
03059.png,0,0,0.99999714,0,1,0,1,0,1,1
03060.png,0,0,0.99999726,0,1,0,1,1,1,1
03061.png,0,0,0.99999785,0,1,0,1,0,0,0
03062.png,0,0,0.9999968,0,1,0,1,0,1,0
03063.png,0,0,0.99999714,0,1,0,1,0,1,1
03064.png,0,0,0.9999969,0,1,0,1,1,1,1
03065.png,0,0,0.99999714,0,1,0,1,0,1,1
03066.png,0,0,0.9999976,0,1,0,1,0,1,1
03067.png,0,0,0.9999976,0,1,0,1,1,1,1
03068.png,0,0,0.9999968,0,1,1,0,1,1,1
03069.png,0,0,0.99999785,0,1,0,1,0,1,1
03070.png,0,0,0.99999726,0,1,0,1,0,1,1
03071.png,0,0,0.9999976,0,1,0,1,0,1,1
03072.png,0,0,0.99999714,0,1,0,1,0,1,0
03073.png,0,0,0.9999976,0,1,0,1,0,1,1
03074.png,0,0,0.9999962,0,1,0,1,0,1,1
03075.png,0,0,0.99999726,0,1,0,1,0,1,1
03076.png,0,0,0.99999785,0,1,0,1,0,1,1
03077.png,0,0,0.999997,0,1,0,1,0,1,1
03078.png,0,0,0.9999958,0,1,0,1,0,1,1
03079.png,0,0,0.9999974,0,1,0,1,0,1,1
03080.png,0,0,0.99999785,0,1,0,1,0,1,1
03081.png,0,0,0.9999968,0,1,1,1,1,1,1
03082.png,0,0,0.99999726,0,1,0,1,0,1,1
03083.png,0,0,0.9999975,0,1,0,1,0,1,1
03084.png,0,0,0.9999975,0,1,0,1,0,1,1
03085.png,0,0,0.9999976,0,1,0,0,0,1,1
03086.png,0,0,0.9999976,0,1,1,1,0,1,1
03087.png,0,0,0.99999523,0,1,0,0,0,1,1
03088.png,0,0,0.9999974,0,1,0,1,0,1,1
03089.png,0,0,0.9999974,0,1,0,1,0,1,0
03090.png,0,0,0.9999969,0,1,0,1,0,1,1
