filename,prediction,true_label,confidence,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.5020619034767151,1,1,1,1,1,1
03002.png,0,0,0.502121239900589,1,1,1,1,1,1
03003.png,0,0,0.5021235942840576,1,1,1,1,1,1
03004.png,0,0,0.502120703458786,1,1,1,1,1,1
03005.png,0,0,0.5020967125892639,1,1,1,1,1,1
03006.png,0,0,0.5021190345287323,1,1,1,1,1,1
03007.png,0,0,0.5021266639232635,1,1,1,1,1,1
03008.png,0,0,0.502122163772583,1,1,1,1,1,1
03009.png,0,0,0.5021181106567383,1,1,1,1,1,1
03010.png,0,0,0.5020957589149475,1,1,1,1,1,1
03011.png,0,0,0.5021413266658783,1,1,1,1,1,1
03012.png,0,0,0.5021467506885529,1,1,1,1,1,1
03013.png,0,0,0.5020416676998138,0,0,0,0,0,0
03014.png,0,0,0.5021175146102905,1,1,1,1,1,1
03015.png,0,0,0.5021570920944214,1,1,1,1,1,1
03016.png,0,0,0.5021382570266724,1,1,1,1,1,1
03017.png,0,0,0.5021320581436157,1,1,1,1,1,1
03018.png,0,0,0.5021051466464996,1,1,1,1,1,1
03019.png,0,0,0.50203937292099,1,1,1,1,1,1
03020.png,0,0,0.5021244883537292,1,1,1,1,1,1
03021.png,0,0,0.5020919144153595,1,1,1,1,1,1
03022.png,0,0,0.5021198093891144,1,1,1,1,1,1
03023.png,0,0,0.5021271407604218,1,1,1,1,1,1
03024.png,0,0,0.5021051466464996,1,1,1,1,1,1
03025.png,0,0,0.5021161437034607,1,1,1,1,1,1
03026.png,0,0,0.5020877718925476,1,1,1,1,1,1
03027.png,0,0,0.5021360516548157,1,1,1,1,1,1
03028.png,0,0,0.502095103263855,1,1,1,1,1,1
03029.png,0,0,0.5021215975284576,1,1,1,1,1,1
03030.png,0,0,0.5020489990711212,1,1,1,1,1,1
03031.png,0,0,0.5020839869976044,1,1,1,1,1,1
03032.png,0,0,0.5021455883979797,1,1,1,1,1,1
03033.png,0,0,0.5021306872367859,0,0,0,0,0,0
03034.png,0,0,0.5020472407341003,1,1,1,1,1,1
03035.png,0,0,0.502128928899765,0,0,0,0,0,0
03036.png,0,0,0.5021088719367981,0,0,0,0,0,0
03037.png,0,0,0.5020946264266968,1,1,1,1,1,1
03038.png,0,0,0.5020628273487091,1,1,1,1,1,1
03039.png,0,0,0.5021369457244873,1,1,1,1,1,1
03040.png,0,0,0.5020962953567505,1,1,1,1,1,1
03041.png,0,0,0.5021304488182068,1,1,1,1,1,1
03042.png,0,0,0.5021139681339264,1,1,1,1,1,1
03043.png,0,0,0.5020957589149475,1,1,1,1,1,1
03044.png,0,0,0.502114325761795,1,1,1,1,1,1
03045.png,0,0,0.502071887254715,0,0,0,0,0,0
03046.png,0,0,0.5020997226238251,1,1,1,1,1,1
03047.png,0,0,0.5021224617958069,1,1,1,1,1,1
03048.png,0,0,0.5021186172962189,1,1,1,1,1,1
03049.png,0,0,0.502092033624649,1,1,1,1,1,1
03050.png,0,0,0.5021400153636932,1,1,1,1,1,1
