filename,prediction,true_label,confidence,is_failed,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,1,0,0.5030599236488342,1,0,0,0,0,0,0
03002.png,1,0,0.5030893087387085,1,0,0,0,0,0,0
03003.png,1,0,0.5030918717384338,0,1,0,0,1,0,1
03004.png,1,0,0.5030783414840698,0,1,0,0,1,0,1
03005.png,1,0,0.5030345320701599,0,1,0,1,0,0,0
03006.png,1,0,0.503027081489563,0,1,1,0,1,0,1
03007.png,1,0,0.5030921697616577,1,0,0,0,0,0,0
03008.png,1,0,0.503085732460022,0,1,0,0,1,1,0
03009.png,1,0,0.5031397938728333,1,0,0,0,0,0,0
03010.png,1,0,0.5030587911605835,1,0,0,0,0,0,0
03011.png,1,0,0.5030653476715088,1,0,0,0,0,0,0
03012.png,1,0,0.5031112432479858,0,1,0,0,0,0,0
03013.png,1,0,0.5031172037124634,1,0,0,0,0,0,0
03014.png,1,0,0.5030676126480103,0,1,0,0,1,0,1
03015.png,1,0,0.5031489133834839,1,0,0,0,0,0,0
03016.png,1,0,0.5030711889266968,1,0,0,0,0,0,0
03017.png,1,0,0.5030341744422913,1,0,0,0,0,0,0
03018.png,1,0,0.5030601620674133,0,1,0,0,1,1,1
03019.png,1,0,0.5030747652053833,1,0,0,0,0,0,0
03020.png,1,0,0.5031381845474243,1,0,0,0,0,0,0
03021.png,1,0,0.5030556917190552,1,0,0,0,0,0,0
03022.png,1,0,0.5030921697616577,1,0,0,0,0,0,0
03023.png,1,0,0.5031790733337402,0,1,1,1,1,0,1
03024.png,1,0,0.5030686259269714,1,0,0,0,0,0,0
03025.png,1,0,0.5030989646911621,0,1,0,0,1,1,1
03026.png,1,0,0.502975583076477,1,0,0,0,0,0,0
03027.png,1,0,0.5031071305274963,1,0,0,0,0,0,0
03028.png,1,0,0.50306236743927,1,0,0,0,0,0,0
03029.png,1,0,0.5031026005744934,1,0,0,0,0,0,0
03030.png,1,0,0.5030001997947693,1,0,0,0,0,0,0
03031.png,1,0,0.5030707120895386,0,1,0,0,1,0,1
03032.png,1,0,0.503058135509491,1,0,0,0,0,0,0
03033.png,1,0,0.5030727386474609,0,1,0,0,1,0,1
03034.png,1,0,0.5031141638755798,0,1,0,0,0,1,1
03035.png,1,0,0.503081202507019,0,1,1,1,1,1,1
03036.png,1,0,0.5030345320701599,0,1,0,1,0,0,0
03037.png,1,0,0.5030324459075928,1,0,0,0,0,0,0
03038.png,1,0,0.5030408501625061,1,0,0,0,0,0,0
03039.png,1,0,0.5030664801597595,0,1,1,0,1,0,1
