filename,prediction,true_label,confidence,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,0,0,0.5010719001293182,1,1,1,1,1,1
03002.png,0,0,0.5010966956615448,1,1,1,1,1,1
03003.png,0,0,0.5011157989501953,1,1,1,1,1,1
03004.png,0,0,0.5010893940925598,1,1,1,1,1,1
03005.png,0,0,0.5010820925235748,1,1,1,1,1,1
03006.png,0,0,0.5010913610458374,1,1,1,1,1,1
03007.png,0,0,0.5010726749897003,1,1,1,1,0,1
03008.png,0,0,0.5010925531387329,1,1,1,1,1,1
03009.png,0,0,0.5010668933391571,1,1,1,1,1,1
03010.png,0,0,0.5010874271392822,1,1,1,1,1,1
03011.png,0,0,0.5010917782783508,1,1,1,1,1,1
03012.png,0,0,0.5011104643344879,1,1,1,1,1,1
03013.png,0,0,0.5011059641838074,1,1,1,1,1,1
03014.png,0,0,0.5010660886764526,0,1,1,1,1,1
03015.png,0,0,0.5010875463485718,1,1,1,1,1,1
03016.png,0,0,0.5010876059532166,1,1,1,1,1,1
03017.png,0,0,0.5011023283004761,1,1,1,1,1,1
03018.png,0,0,0.5010755062103271,1,1,1,1,1,1
03019.png,0,0,0.5010939836502075,1,1,1,1,1,1
03020.png,0,0,0.5010859668254852,1,1,1,1,1,1
03021.png,0,0,0.5010773539543152,1,1,1,1,0,1
03022.png,0,0,0.501036524772644,1,1,1,1,1,1
03023.png,0,0,0.5010886788368225,1,1,1,1,1,1
03024.png,0,0,0.5011069774627686,1,1,1,1,0,1
03025.png,0,0,0.5010892748832703,1,1,1,1,1,1
03026.png,0,0,0.5011031031608582,1,1,1,1,1,1
03027.png,0,0,0.5010528862476349,0,0,0,0,0,0
03028.png,0,0,0.5010458827018738,1,1,0,1,0,1
03029.png,0,0,0.5010750889778137,1,1,1,1,1,1
03030.png,0,0,0.5010975301265717,1,1,1,1,1,1
03031.png,0,0,0.5010994374752045,1,1,1,1,1,1
03032.png,0,0,0.5010852515697479,1,1,1,1,1,1
03033.png,0,0,0.5011051297187805,1,1,1,1,1,1
03034.png,0,0,0.5010700523853302,1,1,1,1,1,1
03035.png,0,0,0.501105010509491,1,1,1,1,1,1
03036.png,0,0,0.5010695159435272,1,1,1,1,1,1
03037.png,0,0,0.5010941922664642,1,1,1,1,1,1
03038.png,0,0,0.5010603666305542,1,1,0,0,0,1
03039.png,0,0,0.5010726153850555,1,1,1,1,1,1
03040.png,0,0,0.5011103451251984,1,1,1,1,1,1
03041.png,0,0,0.5010991990566254,1,1,1,1,1,1
03042.png,0,0,0.5010887980461121,1,1,1,1,1,1
03043.png,0,0,0.5010911226272583,1,1,1,1,1,1
03044.png,0,0,0.5010838806629181,1,1,1,1,1,1
03045.png,0,0,0.5010925531387329,0,1,1,1,1,1
03046.png,0,0,0.5010809004306793,1,1,1,1,1,1
03047.png,0,0,0.501111775636673,1,1,1,1,1,1
03048.png,0,0,0.5010846555233002,1,1,1,1,0,1
03049.png,0,0,0.5011127293109894,1,1,1,1,1,1
03050.png,0,0,0.5011019706726074,1,1,1,1,1,1
